Mean Central England Temperature 1659 to 2024
Units: Degrees Celsius
Notes:
1) seasonal values are calculated from the monthly data by
   averaging the three monthly values
2) Seasons are Win=DJF   Spr=MAM   Sum=JJA   Aut=SON
3) Winter: year refers to January
4) Seasonal data exist for Spring 1659 onwards

  Year   Win    Spr    Sum    Aut  Annual
  1659 -99.90   8.01  15.02   9.34   8.87
  1660   1.96   8.66  15.01   9.67   9.10
  1661   5.00   8.34  14.67  10.67   9.78
  1662   5.66   8.34  15.00  10.01   9.52
  1663   1.69   7.34  14.67  10.00   8.63
  1664   4.66   8.00  15.67   9.33   9.34
  1665   2.03   7.34  15.01   9.33   8.29
  1666   3.62   8.34  16.68  10.34   9.86
  1667   2.28   6.33  16.01   9.33   8.52
  1668   4.32   7.66  15.35  10.00   9.51
  1669   3.31   7.67  16.01  10.00   9.02
  1670   2.03   8.00  15.35  10.00   8.96
  1671   3.50   8.01  15.02   9.32   9.08
  1672   2.35   8.01  14.99   9.69   8.82
  1673   3.74   7.84  15.17   7.99   8.38
  1674   2.52   6.49  13.67   8.67   8.12
  1675   2.86   6.83  13.69   7.67   7.88
  1676   5.00   7.67  16.82   7.49   8.84
  1677   1.95   8.17  15.36   8.66   8.78
  1678   1.83   7.17  15.34   9.82   8.45
  1679   0.98   7.84  16.17   9.19   8.76
  1680   3.16   7.68  14.68  10.50   8.89
  1681   0.98   7.49  15.01  10.68   8.75
  1682   3.72   7.51  14.51   9.34   9.05
  1683   3.89   8.83  14.99   7.98   8.49
  1684  -1.17   7.51  15.51   8.69   7.95
  1685   2.64   8.67  14.33  10.02   9.16
  1686   6.34   9.34  15.50   9.49  10.15
  1687   4.67   7.34  14.52   9.35   8.99
  1688   3.71   6.51  14.52   7.66   7.86
  1689   2.61   8.00  14.36   8.66   8.56
  1690   4.33   7.33  14.68   9.32   8.94
  1691   2.21   7.17  15.17   8.34   8.17
  1692   1.87   6.83  14.51   7.65   7.73
  1693   3.79   6.16  14.84   9.17   8.47
  1694   2.59   6.66  13.67   7.83   7.67
  1695   0.67   6.01  13.17   8.67   7.29
  1696   4.67   6.51  14.68   8.67   8.52
  1697   1.36   8.01  14.35   8.34   8.05
  1698   1.02   6.49  14.02   8.67   7.67
  1699   3.43   6.77  15.55   9.43   8.83
  1700   3.36   7.34  14.54   8.90   8.62
  1701   3.19   6.15  16.22   9.51   8.75
  1702   5.05   7.42  14.82   9.60   9.31
